@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute accelerationx-mean-1000 numeric
@attribute accelerationy-mean-1000 numeric
@attribute accelerationz-mean-1000 numeric
@attribute class {walking,sitting,standing}

@data
-6.255051,-7.333333,-2.379293,walking
-6.30404,-7.260354,-2.268434,walking
-6.467172,-7.057071,-2.075253,walking
-6.630303,-7.151768,-1.853788,walking
-6.836869,-7.306061,-1.588636,walking
-6.979545,-7.429798,-1.39798,walking
-7.045707,-7.516667,-1.49798,walking
-6.701768,-7.37803,-1.897222,walking
-6.628788,-7.17601,-2.110859,walking
-6.514899,-6.955808,-2.335101,walking
-6.500505,-6.720202,-2.77197,walking
-6.435859,-6.633333,-3.262121,walking
-6.341176,-6.61867,-3.471611,walking
-6.396962,-6.644051,-3.716962,walking
?,?,?,sitting
?,?,?,sitting
?,?,?,sitting
?,?,?,sitting
?,?,?,sitting
?,?,?,sitting
?,?,?,sitting
3.707323,-0.886111,-9.123737,sitting
3.703788,-0.890657,-9.125,sitting
3.696456,-0.890127,-9.127595,sitting
3.696717,-0.891667,-9.128535,sitting
3.701515,-0.889899,-9.126768,sitting
3.707071,-0.886364,-9.124495,sitting
3.706061,-0.887626,-9.126263,sitting
3.698737,-0.883081,-9.125,sitting
3.695202,-0.889394,-9.125758,sitting
3.693182,-0.894697,-9.135101,sitting
3.700505,-0.906566,-9.142677,sitting
3.734684,-0.888101,-9.133924,sitting
3.769444,-0.851263,-9.118939,sitting
3.770707,-0.811111,-9.106566,sitting
3.774242,-0.765152,-9.094192,sitting
3.779545,-0.72298,-9.084091,sitting
3.796717,-0.698485,-9.078788,sitting
3.830556,-0.697222,-9.076263,sitting
3.846212,-0.688636,-9.066414,sitting
3.865404,-0.680808,-9.050253,sitting
3.880556,-0.685859,-9.038889,sitting
3.867424,-0.728283,-9.030303,sitting
3.85303,-0.786111,-9.040657,sitting
3.875758,-0.837626,-9.034343,sitting
3.873232,-0.933081,-9.04798,sitting
3.861869,-1.030051,-9.052525,sitting
3.863384,-1.081818,-9.054545,sitting
3.844949,-1.117172,-9.038636,sitting
3.836616,-1.175,-9.048737,sitting
