% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:44

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104704170,3.1,-1.6,-9.3
1527104704173,3.1,-1.6,-9.3
1527104704176,3.1,-1.6,-9.3
1527104704178,3.1,-1.6,-9.3
1527104704182,3.1,-1.6,-9.3
1527104704184,3.1,-1.6,-9.3
1527104704186,3.1,-1.6,-9.2
1527104704189,3.1,-1.6,-9.2
1527104704191,3.1,-1.6,-9.2
1527104704194,3.1,-1.6,-9.3
1527104704196,3.1,-1.6,-9.3
1527104704198,3.1,-1.6,-9.3
1527104704201,3.1,-1.6,-9.3
1527104704204,3.1,-1.6,-9.3
1527104704206,3.1,-1.6,-9.2
1527104704209,3.1,-1.6,-9.3
1527104704211,3.1,-1.6,-9.3
1527104704214,3.1,-1.5,-9.3
1527104704216,3.1,-1.6,-9.4
1527104704219,3.1,-1.6,-9.3
1527104704221,3.1,-1.6,-9.3
1527104704224,3.1,-1.5,-9.3
1527104704226,3.1,-1.5,-9.3
1527104704229,3.1,-1.5,-9.4
1527104704231,3.1,-1.6,-9.4
1527104704234,3.1,-1.5,-9.3
1527104704236,3.1,-1.6,-9.4
1527104704240,3.1,-1.6,-9.3
1527104704242,3.1,-1.6,-9.3
1527104704245,3.1,-1.6,-9.3
1527104704247,3.1,-1.6,-9.3
1527104704249,3.0,-1.6,-9.4
1527104704253,3.1,-1.5,-9.3
1527104704255,3.1,-1.6,-9.3
1527104704258,3.1,-1.6,-9.3
1527104704260,3.0,-1.5,-9.3
1527104704262,3.0,-1.5,-9.3
1527104704264,3.1,-1.5,-9.2
1527104704267,3.0,-1.6,-9.2
1527104704270,3.0,-1.5,-9.3
1527104704272,3.0,-1.5,-9.2
1527104704275,3.0,-1.5,-9.2
1527104704278,3.0,-1.5,-9.2
1527104704280,3.0,-1.5,-9.2
1527104704282,3.0,-1.5,-9.2
1527104704285,3.0,-1.5,-9.3
1527104704287,2.9,-1.5,-9.2
1527104704291,3.0,-1.5,-9.2
1527104704293,3.0,-1.5,-9.3
1527104704295,3.0,-1.4,-9.2
1527104704297,3.0,-1.4,-9.3
1527104704300,3.0,-1.4,-9.4
1527104704303,3.0,-1.5,-9.3
1527104704305,3.0,-1.5,-9.3
1527104704308,3.0,-1.5,-9.3
1527104704310,3.0,-1.5,-9.3
1527104704313,3.1,-1.5,-9.4
1527104704315,3.0,-1.5,-9.4
1527104704317,3.1,-1.4,-9.4
1527104704320,3.1,-1.5,-9.4
1527104704322,3.0,-1.5,-9.4
1527104704325,3.0,-1.5,-9.4
1527104704328,3.1,-1.5,-9.4
1527104704331,3.1,-1.5,-9.4
1527104704333,3.1,-1.5,-9.4
1527104704335,3.1,-1.5,-9.4
1527104704338,3.1,-1.6,-9.5
1527104704340,3.1,-1.6,-9.4
1527104704343,3.1,-1.5,-9.4
1527104704345,3.1,-1.6,-9.4
1527104704348,3.1,-1.6,-9.5
1527104704351,3.1,-1.6,-9.4
1527104704353,3.0,-1.5,-9.4
1527104704355,3.1,-1.6,-9.4
1527104704358,3.0,-1.6,-9.3
1527104704360,3.1,-1.6,-9.4
1527104704363,3.1,-1.6,-9.3
1527104704366,3.0,-1.6,-9.3
1527104704368,3.1,-1.6,-9.4
1527104704371,3.0,-1.6,-9.3
1527104704373,3.0,-1.6,-9.3
1527104704379,3.0,-1.6,-9.3
1527104704381,3.0,-1.6,-9.3
1527104704383,3.0,-1.6,-9.3
1527104704384,3.0,-1.6,-9.3
1527104704387,3.0,-1.6,-9.3
1527104704390,3.0,-1.6,-9.2
1527104704394,3.0,-1.6,-9.3
1527104704395,3.0,-1.6,-9.3
1527104704397,3.0,-1.6,-9.2
1527104704398,3.0,-1.6,-9.2
1527104704401,3.0,-1.6,-9.3
1527104704404,3.0,-1.6,-9.3
